date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:43:14	950/950	UR-MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2014:43:12%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/frontend/images/copy_trading.png	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/frontend/images/copy_trading.png	(from https://copytradingbroker.io/how_it_works)
07:43:14	946/946	UR-MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2014:43:13%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/auth/plugins/sweetalert/js/sweetalert.min.js	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/auth/plugins/sweetalert/js/sweetalert.min.js	(from https://copytradingbroker.io/register)
07:43:16	946/946	UR-MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2014:43:14%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/auth/plugins/sweetalerts/promise-polyfill.js	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/auth/plugins/sweetalerts/promise-polyfill.js	(from https://copytradingbroker.io/register)
07:43:16	102964/102964	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://unpkg.com/sweetalert2%407.8.2/dist/sweetalert2.all.js	/home/taliban/websites/tedbroker.com/unpkg.com/sweetalert2@7.8.2/dist/sweetalert2.all.js	(from https://copytradingbroker.io/register)
07:43:17	4618/4618	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2022%20May%202023%2008:35:44%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/frontend/images/shapes/stripe-colored.svg	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/frontend/images/shapes/stripe-colored.svg	(from https://copytradingbroker.io/assets/templates/copytradingbroker/frontend/css/style.css)
07:43:17	249328/249328	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20May%202023%2008:35:44%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/frontend/images/bg/1.jpg	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/frontend/images/bg/1.jpg	(from https://copytradingbroker.io/assets/templates/copytradingbroker/frontend/css/style.css)
07:43:18	946/946	UR-MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2014:43:17%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/plugins/jquery/jquery.min.js	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/plugins/jquery/jquery.min.js	(from https://copytradingbroker.io/register)
07:43:19	946/946	UR-MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2014:43:18%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/plugins/bootstrap/js/bootstrap.min.js	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/plugins/bootstrap/js/bootstrap.min.js	(from https://copytradingbroker.io/register)
07:43:21	946/946	UR-MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2014:43:19%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/plugins/bootstrap/js/popper.min.js	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/plugins/bootstrap/js/popper.min.js	(from https://copytradingbroker.io/register)
07:43:22	150245/150245	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jun%202025%2010:13:42%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/frontend/images/bg1.png	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/frontend/images/bg1.png	(from https://copytradingbroker.io/assets/templates/copytradingbroker/frontend/css/style.css)
